year,population
1960,18406905
1961,18555250
1962,18676550
1963,18797850
1964,18919126
1965,19031576
1966,19215450
1967,19534242
1968,19799831
1969,19878678
1970,20139603
1971,20361192
1972,20561942
1973,20753972
1974,20917390
1975,21141468
1976,21353158
1977,21558348
1978,21760533
1979,21298044
1980,22132670
1981,22281894
1982,22424246
1983,22527235
1984,22593720
1985,22687374
1986,22778624
1987,22895058
1988,23003802
1989,23111521
1990,23211395
1991,23192274
1992,22794284
1993,22763280
1994,22730211
1995,22684270
1996,22619004
1997,22553978
1998,22507344
1999,22472040
2000,22442971
2001,22131970
2002,21730496
2003,21627509
2004,21521142
2005,21382354
2006,21257016
2007,21130503
2008,20635460
2009,20440290
2010,20294683
2011,20199059
2012,20095996
2013,20020074
2014,19953089
2015,19875542
2016,19760585
2017,19643949
2018,19533481
2019,19425873
2020,19354339
2021,19229519
2022,19043098
2023,19055228
2024,19067576
2025,19036031
